ID_SAMPLE,site_name,elevation,basin_size,site_type,entity_type,New_lat,New_lon
8698,,,not applicable,,,,
8700,,,not applicable,,,,
8701,,,not applicable,,,,
8702,,,not applicable,,,,
8703,,,not applicable,,,,
8704,,,not applicable,,,,
8705,,,not applicable,,,,
8706,,,not applicable,,,,
8707,,,not applicable,,,,
8708,,,not applicable,,,,
8709,,,not applicable,,,,
8710,,,not applicable,,,,
8711,,,not applicable,,,,
8712,,,not applicable,,,,
8713,,,not applicable,,,,
8714,,,not applicable,,,,
8715,,,not applicable,,,,
8716,,,not applicable,,,,
8717,,,not applicable,,,,
8718,,,not applicable,,,,
8719,,,not applicable,,,,
8720,,,not applicable,,,,
8722,,,not applicable,,,,
8723,,,not applicable,,,,
8724,,,not applicable,,,,
8725,,,not applicable,,,,
8726,,,not applicable,,,,
8727,,,not applicable,,,,
9083,,,not applicable,,,,
9084,,,not applicable,,,,
9085,,,not applicable,,,,
9086,,,not applicable,,,,
9087,,,not applicable,,,,
9088,,,not applicable,,,,
9089,,,not applicable,,,,
9090,,,not applicable,,,,
9091,,,not applicable,,,,
9092,,,not applicable,,,,
9093,,,not applicable,,,,
9094,,,not applicable,,,,
9095,,,not applicable,,,,
9096,,,0.622,,,,
9098,,,not applicable,,,,
9101,,,not applicable,,,,
9102,,,not applicable,,,,
9108,,,not applicable,,,,
9109,,,not applicable,,,,
9110,,,not applicable,,,,
9111,,,not applicable,,,,
9112,,,not applicable,,,,
9113,,,not applicable,,,,
9114,,,not applicable,,,,
9115,,,not applicable,,,,
9116,,,not applicable,,,,
9117,,,not applicable,,,,
9118,,,not applicable,,,,
9119,,,not applicable,,,,
9120,,,not applicable,,,,
9121,,,not applicable,,,,
9122,,,not applicable,,,,
9123,,,not applicable,,,,
9124,,,not applicable,,,,
9125,,,not applicable,,,,
9126,,,not applicable,,,,
9127,,,not applicable,,,,
9128,,,0.1,,,,
9129,,,0.1,,,,
9186,,,,terrestrial,,,
9190,,,,terrestrial,,,
9236,,,0.004,lake,,,
9237,,,0.004,lake,,,
9238,,,0.004,lake,,,
9239,,,0.004,lake,,,
9240,,,0.004,lake,,,
9241,,,0.004,lake,,,
9405,,,0.031,lake,,,
9577,Lago Lungo,,0.78,lake,,,
9578,,,0.031,,,,
10305,,,0.005,,,,
10306,,,0.005,,,,
10307,,,0.005,,,,
10308,,,0.005,,,,
10309,,,0.005,,,,
10310,,,0.005,,,,
10311,,,0.005,,,,
10312,,,0.005,,,,
10313,,,0.005,,,,
10334,,,0.01,,,,
10335,,,0.01,,,,
10338,,,0.002,,,,
10339,,,0.002,,,,
10340,,,0.002,,,,
10341,,,0.002,,,,
10345,,,0.221,"terrestrial, bog/fen/swamp",,,
10348,,,0.015,,,,
10351,,,0.11,,,,
10352,,,0.001,,,,
10353,,,0.001,,,,
10354,,,0.001,,,,
10359,,,0.01,,,,
10360,,,0.01,,,,
10374,,,0.03,,,,
10375,,,0.03,,,,
10376,,,0.03,,,,
10377,,,0.03,,,,
10378,,,0.03,,,,
10382,,,0.001,lake,,37.0598363,-3.416975592
10389,,,0.103,,,,
10390,,,0.103,,,,
10391,,,0.103,,,,
10392,,,0.103,,,,
10397,,,0.001,,,,
10398,,,0.001,,,,
10399,,,0.001,,,,
10400,,,0.001,,,,
10403,,,0.14,,,,
10408,,,0.385,,,,
10439,,,0.002,,,,
10459,,,0.0002,,,,
10465,,,0.061,,,,
10468,,,0.005,,,,
10471,,,0.036,,,,
10472,,,0.036,,,,
10477,,,0.01,,,,
10478,,,0.01,,,,
10484,,,0.038,,,,
10508,,,0.01,,,,
10510,,,0.1,,,,
10522,,,0.092,,,,
10528,,,0.19,,,,
10538,,,0.659,,,,
10545,,,0.071,,,,
10644,,,0.6,,,,
10645,,,2.8,,,,
10646,,,0.008,,,,
10651,,,0.013,lake,,,
10652,,,0.006,lake,,,
10653,,,0.004,lake,,,
10654,,,0.007,lake,,,
10655,,,0.027,lake,,,
10657,,,0.0004,,,,
17661,,,,"terrestrial, bog/fen/swamp",,,
17662,,,,"terrestrial, bog/fen/swamp",,,
17663,,,,"terrestrial, bog/fen/swamp",,,
17678,,,0.515,"terrestrial, bog/fen/swamp",,,
17680,,,0.008,,,,
17691,,,0.01,"terrestrial, bog/fen/swamp",,,
17693,,,0.219,lake,lake surface sample,57.42418676,12.23574404
17698,,,0.116,lake,lake surface sample,65.13373097,29.6055826
17701,,,25.001,lake,,,
17728,,,0.47,lake,lake surface sample,,
17729,,,0.174,lake,lake surface sample,64.1661437,28.74544743
17753,,,0.001,"terrestrial, bog/fen/swamp",,,
17754,,,0.001,"terrestrial, bog/fen/swamp",,,
17755,,,0.001,"terrestrial, bog/fen/swamp",,,
17756,,,0.001,"terrestrial, bog/fen/swamp",,,
17757,,,0.001,"terrestrial, bog/fen/swamp",,,
17758,,,0.001,"terrestrial, bog/fen/swamp",,,
17767,,,0.238,lake,lake surface sample,68.48412392,27.88463666
17768,,,0.41,lake,lake surface sample,,
17769,,,0.086,lake,lake surface sample,68.28737211,24.74151289
17783,,,0.001,,,,
17784,,,0.001,,,,
17797,,,0.082,,,,
17857,,,0.0004,"terrestrial, bog/fen/swamp",,,
17858,,,0.002,"terrestrial, bog/fen/swamp",,,
17859,,,0.002,"terrestrial, bog/fen/swamp",,,
17993,,,not applicable,,,,
17994,,,not applicable,,,,
18005,,,0.003,,,,
18006,,,0.003,,,,
