entity_name,longitude,latitude,bin_centre,number_samples,tree_cover
AC4HOLO,10.89235,42.987535,8200,4,69.0824892835977
AC4HOLO,10.89235,42.987535,8400,3,73.3695966067457
AC4HOLO,10.89235,42.987535,8600,3,75.2056866032487
AC4HOLO,10.89235,42.987535,8800,1,76.3220018645408
AC4HOLO,10.89235,42.987535,9000,1,76.2991903593568
AC4HOLO,10.89235,42.987535,9200,1,73.03472809295
AC4HOLO,10.89235,42.987535,9400,2,69.0780891991991
AC4HOLO,10.89235,42.987535,9600,3,70.9442740006212
AC4HOLO,10.89235,42.987535,9800,3,70.4619352640216
AC4HOLO,10.89235,42.987535,10000,4,71.5896127528767
AC4HOLO,10.89235,42.987535,10200,4,72.4133764661089
AC4HOLO,10.89235,42.987535,10800,2,69.2053183967697
AC4HOLO,10.89235,42.987535,11000,3,64.441900945505
AC4HOLO,10.89235,42.987535,11200,7,55.4070261177532
AC4HOLO,10.89235,42.987535,11400,6,47.4035199830583
AC4HOLO,10.89235,42.987535,11600,6,43.3744945065636
AC4HOLO,10.89235,42.987535,11800,4,25.9832456572347
ACEBRON2,-6.547308,37.14576,0,6,18.1531565088871
ACEBRON2,-6.547308,37.14576,200,4,17.1183098135991
ACEBRON2,-6.547308,37.14576,400,7,13.5611308651197
ACEBRON2,-6.547308,37.14576,600,4,13.0338773562558
ACEBRON2,-6.547308,37.14576,800,1,9.20178598692342
ACEBRON2,-6.547308,37.14576,1200,1,15.5561576825059
ACEBRON2,-6.547308,37.14576,1600,1,10.7769285078878
ACEBRON2,-6.547308,37.14576,2000,1,14.7366155665489
ACEBRON2,-6.547308,37.14576,2800,1,28.6059806945227
ACEBRON2,-6.547308,37.14576,3200,1,27.3956965805733
ACEBRON2,-6.547308,37.14576,3800,1,28.0377527443004
ACEBRON2,-6.547308,37.14576,4200,1,28.2520278544955
ACEBRON2,-6.547308,37.14576,4400,2,29.2312853666984
ACEBRON2,-6.547308,37.14576,4600,2,31.4294479107838
ACEBRON2,-6.547308,37.14576,4800,3,27.4517714357602
