taxon_name,clean_taxon_name,terrestrial_pollen_sum,ap_sp_hp,ap_needle_broad,europe,pollination
Portulacaceae,Portulacaceae,yes,HP,not_native_tree,native,not_native_tree
Potentilla,Potentilla,yes,SP,not_native_tree,native,not_native_tree
Primulaceae,Primulaceae,yes,HP,not_native_tree,native,not_native_tree
Prosopis,Prosopis,yes,not_native,not_native_tree,not native to Europe,not native to Europe
Prunus,Prunus,yes,AP,broad,native,biotic
Pseudotsuga,Pseudotsuga,yes,not_native,not_native_tree,not native to Europe,not native to Europe
Pteridaceae,Pteridaceae,no,HP,not_native_tree,native,not_native_tree
Pterocarya,Pterocarya,yes,not_native,not_native_tree,not native to Europe,not native to Europe
Punica,Punica,yes,not_native,not_native_tree,not native to Europe,not native to Europe
Pyrus,Pyrus,yes,AP,broad,native,biotic
Quercus,Quercus,yes,AP,broad,native,wind
Quercus deciduous,Quercus deciduous,yes,AP,broad,native,wind
Quercus evergreen,Quercus evergreen,yes,AP,broad,native,wind
Ranunculaceae,Ranunculaceae,yes,HP,not_native_tree,native,not_native_tree
Ranunculus,Ranunculus,yes,HP,not_native_tree,native,not_native_tree
Resedaceae,Resedaceae,yes,HP,not_native_tree,native,not_native_tree
Rhamnaceae,Rhamnaceae,yes,SP,not_native_tree,native,not_native_tree
Rhamnus,Rhamnus,yes,SP,not_native_tree,native,not_native_tree
Rhododendron,Rhododendron,yes,SP,not_native_tree,native,not_native_tree
Rhus,Rhus,yes,SP,not_native_tree,native,not_native_tree
Ribes,Ribes,yes,SP,not_native_tree,native,not_native_tree
Robinia,Robinia,yes,not_native,not_native_tree,not native to Europe,not native to Europe
Rosaceae,Rosaceae,yes,SP,not_native_tree,native,not_native_tree
Rubiaceae,Rubiaceae,yes,HP,not_native_tree,native,not_native_tree
Rubus,Rubus,yes,SP,not_native_tree,native,not_native_tree
Ruscus,Ruscus,yes,SP,not_native_tree,native,not_native_tree
Rutaceae,Rutaceae,yes,HP,not_native_tree,native,not_native_tree
Salix,Salix,yes,AP,broad,native,biotic
Salvia,Salvia,yes,SP,not_native_tree,native,not_native_tree
Rosmarinus,Salvia,yes,SP,not_native_tree,native,not_native_tree
Sambucus,Sambucus,yes,SP,not_native_tree,native,not_native_tree
Sanguisorba group,Sanguisorba,yes,HP,not_native_tree,native,not_native_tree
Santalaceae,Santalaceae,yes,HP,not_native_tree,native,not_native_tree
Sapotaceae,Sapotaceae,yes,SP,not_native_tree,native,not_native_tree
Saxifragaceae,Saxifragaceae,yes,HP,not_native_tree,native,not_native_tree
Scrophulariaceae,Scrophulariaceae,yes,HP,not_native_tree,native,not_native_tree
Argania,Sideroxylon spinosum,yes,not_native,not_native_tree,not native to Europe,not native to Europe
Smilax,Smilax,yes,SP,not_native_tree,native,not_native_tree
Solanaceae,Solanaceae,yes,HP,not_native_tree,native,not_native_tree
Sorbus,Sorbus,yes,AP,broad,native,biotic
Staphyleaceae,Staphyleaceae,yes,AP,broad,native,biotic
Sterculia,Sterculia,yes,not_native,not_native_tree,not native to Europe,not native to Europe
Styrax,Styrax,yes,SP,not_native_tree,native,not_native_tree
Suaeda,Suaeda,yes,SP,not_native_tree,native,not_native_tree
Syringa,Syringa,yes,AP,broad,native,biotic
